Epoch, Total Squared Error
1694,0.10073
1695,0.100727
1696,0.100725
1697,0.100722
1698,0.10072
1699,0.100717
1700,0.100715
1701,0.100712
1702,0.10071
1703,0.100707
1704,0.100705
1705,0.100702
1706,0.1007
1707,0.100698
1708,0.100695
1709,0.100693
1710,0.10069
1711,0.100688
1712,0.100685
1713,0.100683
1714,0.10068
1715,0.100678
1716,0.100675
1717,0.100673
1718,0.10067
1719,0.100668
1720,0.100665
1721,0.100663
1722,0.10066
1723,0.100658
1724,0.100656
1725,0.100653
1726,0.100651
1727,0.100648
1728,0.100646
1729,0.100643
1730,0.100641
1731,0.100638
1732,0.100636
1733,0.100633
1734,0.100631
1735,0.100629
1736,0.100626
1737,0.100624
1738,0.100621
1739,0.100619
1740,0.100616
1741,0.100614
1742,0.100611
1743,0.100609
1744,0.100607
1745,0.100604
1746,0.100602
1747,0.100599
1748,0.100597
1749,0.100594
1750,0.100592
1751,0.10059
1752,0.100587
1753,0.100585
1754,0.100582
1755,0.10058
1756,0.100577
1757,0.100575
1758,0.100573
1759,0.10057
1760,0.100568
1761,0.100565
1762,0.100563
1763,0.100561
1764,0.100558
1765,0.100556
1766,0.100553
1767,0.100551
1768,0.100548
1769,0.100546
1770,0.100544
1771,0.100541
1772,0.100539
1773,0.100536
1774,0.100534
1775,0.100532
1776,0.100529
1777,0.100527
1778,0.100524
1779,0.100522
1780,0.10052
1781,0.100517
1782,0.100515
1783,0.100512
1784,0.10051
1785,0.100508
1786,0.100505
1787,0.100503
1788,0.100501
1789,0.100498
1790,0.100496
1791,0.100493
1792,0.100491
1793,0.100489
1794,0.100486
1795,0.100484
1796,0.100481
1797,0.100479
1798,0.100477
1799,0.100474
1800,0.100472
1801,0.10047
1802,0.100467
1803,0.100465
1804,0.100462
1805,0.10046
1806,0.100458
1807,0.100455
1808,0.100453
1809,0.100451
1810,0.100448
1811,0.100446
1812,0.100444
1813,0.100441
1814,0.100439
1815,0.100436
1816,0.100434
1817,0.100432
1818,0.100429
1819,0.100427
1820,0.100425
1821,0.100422
1822,0.10042
1823,0.100418
1824,0.100415
1825,0.100413
1826,0.100411
1827,0.100408
1828,0.100406
1829,0.100404
1830,0.100401
1831,0.100399
1832,0.100397
1833,0.100394
1834,0.100392
1835,0.10039
1836,0.100387
1837,0.100385
1838,0.100383
1839,0.10038
1840,0.100378
1841,0.100376
1842,0.100373
1843,0.100371
1844,0.100369
1845,0.100366
1846,0.100364
1847,0.100362
1848,0.100359
1849,0.100357
1850,0.100355
1851,0.100352
1852,0.10035
1853,0.100348
1854,0.100345
1855,0.100343
1856,0.100341
1857,0.100338
1858,0.100336
1859,0.100334
1860,0.100332
1861,0.100329
1862,0.100327
